TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,TAVG^2,TAVG FF_AVG,TAVG RH_AVG,TAVG SS,TAVG DDD_X,TAVG DDD_CAR,FF_AVG^2,FF_AVG RH_AVG,FF_AVG SS,FF_AVG DDD_X,FF_AVG DDD_CAR,RH_AVG^2,RH_AVG SS,RH_AVG DDD_X,RH_AVG DDD_CAR,SS^2,SS DDD_X,SS DDD_CAR,DDD_X^2,DDD_X DDD_CAR,DDD_CAR^2,RR
28.3,2.0,82.0,2.6,230.0,0.0,800.89,56.6,2320.6,73.58,6509.0,0.0,4.0,164.0,5.2,460.0,0.0,6724.0,213.20000000000002,18860.0,0.0,6.760000000000001,598.0,0.0,52900.0,0.0,0.0,94.5
29.0,3.0,76.0,4.5,270.0,270.0,841.0,87.0,2204.0,130.5,7830.0,7830.0,9.0,228.0,13.5,810.0,810.0,5776.0,342.0,20520.0,20520.0,20.25,1215.0,1215.0,72900.0,72900.0,72900.0,2.1
28.2,2.0,80.0,8.3,250.0,225.0,795.24,56.4,2256.0,234.06,7050.0,6345.0,4.0,160.0,16.6,500.0,450.0,6400.0,664.0,20000.0,18000.0,68.89000000000001,2075.0,1867.5000000000002,62500.0,56250.0,50625.0,0.0
28.0,1.0,84.0,6.2,290.0,0.0,784.0,28.0,2352.0,173.6,8120.0,0.0,1.0,84.0,6.2,290.0,0.0,7056.0,520.8000000000001,24360.0,0.0,38.440000000000005,1798.0,0.0,84100.0,0.0,0.0,5.7
28.7,1.0,82.0,3.2,200.0,0.0,823.6899999999999,28.7,2353.4,91.84,5740.0,0.0,1.0,82.0,3.2,200.0,0.0,6724.0,262.40000000000003,16400.0,0.0,10.240000000000002,640.0,0.0,40000.0,0.0,0.0,32.0
27.8,3.0,85.0,2.4,250.0,270.0,772.84,83.4,2363.0,66.72,6950.0,7506.0,9.0,255.0,7.199999999999999,750.0,810.0,7225.0,204.0,21250.0,22950.0,5.76,600.0,648.0,62500.0,67500.0,72900.0,12.3
25.3,2.0,92.0,2.4,220.0,315.0,640.09,50.6,2327.6,60.72,5566.0,7969.5,4.0,184.0,4.8,440.0,630.0,8464.0,220.79999999999998,20240.0,28980.0,5.76,528.0,756.0,48400.0,69300.0,99225.0,26.9
27.3,0.0,81.0,0.0,310.0,0.0,745.2900000000001,0.0,2211.3,0.0,8463.0,0.0,0.0,0.0,0.0,0.0,0.0,6561.0,0.0,25110.0,0.0,0.0,0.0,0.0,96100.0,0.0,0.0,31.0
28.1,2.0,80.0,0.0,360.0,90.0,789.6100000000001,56.2,2248.0,0.0,10116.0,2529.0,4.0,160.0,0.0,720.0,180.0,6400.0,0.0,28800.0,7200.0,0.0,0.0,0.0,129600.0,32400.0,8100.0,0.0
29.9,3.0,66.0,1.5,310.0,315.0,894.0099999999999,89.69999999999999,1973.3999999999999,44.849999999999994,9269.0,9418.5,9.0,198.0,4.5,930.0,945.0,4356.0,99.0,20460.0,20790.0,2.25,465.0,472.5,96100.0,97650.0,99225.0,2.5
